product_url,priority_keyword,page_impressions,page_clicks,page_ctr_pct,page_avg_position,kw_impressions,kw_clicks,kw_avg_position,meta_title,meta_description,h1,recommended_action,data_status
https://ledsone.co.uk/products/ip68-waterproof-junction-box-case-for-electrical-cable-wire-connector-5599,No GSC data,0,0,,,"","","",Missing,Missing,Missing,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/rose-gold-lamp-shade-cap-for-pendant-light-socket-holder-fitting,rose gold lamp shade,93,0,0.00,13.1,51,0,14.0,Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting,Missing,Rose Gold Lamp Shade Cap for Pendant Light Socket Holder Fitting~1030,Do not optimize,GSC data available
https://ledsone.co.uk/products/40cm-black-metal-dome-pendant-light,large black dome pendant light,22,0,0.00,22.6,4,0,8.8,Modern Large Black Metal Dome Pendant Light,"Raise the Dimensions in the area! with use this Modern Black Metal Dome Pendant. Ideal for living spaces and bedrooms.",Modern Large Ceiling Black Metal Dome Pendant Light ~1845,Do not optimize,GSC data available
https://ledsone.co.uk/products/modern-vintage-pendant-light-fitting-retro-industrial-style-e27-lamp-holder,copper bulb holder,45,1,2.22,9.6,24,1,10.3,E27 Copper shiny Vintage Retro Industrial Style Lamp Holder,Free UK Shipping On Order Over £20 This Brass Socket is a great addition to any style space with an exposed vintage bulb.,Lamp Bulb Holder For E27 Lamp Base~2496,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/pendant-light-fitting-ceiling-rose-e27-suspension-set-fabric-corded-rose-gold,rose gold light fitting,142,0,0.00,12.9,89,0,9.7,E27 Rose Gold Pendant Light Fitting with Ceiling Rose,Rose gold E27 pendant light fitting with ceiling rose and 90cm fabric cable. Vintage suspension set ideal for kitchens dining rooms and DIY lighting.,E27 Rose Gold Pendant Light Fitting Ceiling Rose Fabric Cable~2383,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/tiffany-style-ceiling-pendant-hanging-mediterranean-style-lamp-light-decorative-home-4541,mediterranean lamp shades,11,0,0.00,10.6,7,0,3.7,Tiffany Style Stained Glass Lampshades only,Find Stained Glass Tiffany Style Lampshades! Shop Lamps & Lampshades at our Ledsone.co.uk Enjoy Free shipping Over £20 in UK.,Tiffany style Pendant Hanging Mediterranean Style Decorative Light Shade~4541,Do not optimize,GSC data available
https://ledsone.co.uk/products/brushed-silver-metal-industrial-hanging-pendant-lighting-adjustable-hanging-barn-light,industrial pendant lighting uk,62,0,0.00,23.4,16,0,37.6,Brushed Silver Metal Industrial Pendant Hanging Barn Light~1432,Features: Vintage country style pendant light. Metal lamp holder retro vintage look pendant lamp shades.,Brushed Silver Metal Industrial Hanging Pendant Lighting Adjustable Hanging Barn Light~1432,Do not optimize,GSC data available
https://ledsone.co.uk/products/ledsone-industrial-vintage-32cm-orange-pendant-retro-metal-lamp-shade-e27-uk-holder,No GSC data,0,0,,,"","","",Missing,Missing,Missing,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/lamp-shade-spring-clip-retainer-for-lamp-part-shades-5963,lamp shade spring clip,21,0,0.00,14.3,6,0,5.5,Missing,Missing,Lamp Shade Spring Clip Retainer for Lamp Part Shades~5963,Do not optimize,GSC data available
https://ledsone.co.uk/products/french-gold-pendant-lights-gold-ceiling-lights-metal-industrial-light-shade,gold metal ceiling light,10,0,0.00,15.3,4,0,14.0,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade,Missing,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade~1519,Do not optimize,GSC data available
https://ledsone.co.uk/products/e27-g95-40w-dimmable-antique-globe-industrial-retro-bulb,g95 globe,143,0,0.00,21.0,67,0,19.4,G95 Bulb E27 – 40W Dimmable Vintage Globe Light 95mm UK,G95 E27 bulb with 95mm globe size. Dimmable vintage light bulb perfect for decorative lighting.,Edison Style E27 G95 Bulb 4W Dimmable Screw Vintage Globe Decorative Bulb~1531,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/dc12v-60w-ip20-mini-universal-regulated-switching-led-transformer,No GSC data,0,0,,,"","","",12V 60W LED Transformer Switching Power Supply 5A,12V 60W LED transformer with 5A output for LED strip lights.,12V 60W LED Transformer 5A Switching Power Supply AC to DC~3332,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/industrial-vintage-style-wall-or-ceiling-light-b22-bar-conduits-light,b22 ceiling light,19,0,0.00,10.7,12,0,14.0,Ceiling Light Bar,Transform your space with a ceiling light bar.,Vintage Style B22 Single Conduit Ceiling Light – Industrial Retro Lighting Fitting~1555,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-light-bulb-guard-cage-cluster-pendant-lights,cage pendant light edison bulb uk buy,670,0,0.00,8.3,536,0,7.1,Cage Pendant light fixture | 3 cluster pendant Lights Uk,Discover our cage pendant light fixture cluster of three lights perfect for Stair case Over Dining table living Room.,Stylish Light Bulb Cages & Cluster Ceiling Lights ~ 5168,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/conduit-pipe-table-lamp-with-dimmer-switch-industrial-steampunk-light-5651,lamp with dimmer,451,0,0.00,14.8,134,0,14.3,Industrial Steampunk Dimmable Lamp,Vintage Conduit Pipe Table Lamp with dimmer switch for adjustable brightness. Perfect for lofts kitchens and living rooms.,Conduit Pipe Table Lamp Kit with Dimmer Switch Steampunk Light -5651,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/28w-compact-led-driver-ac-230v-to-dc12v-power-supply-transformer,240v to 12v led driver,38,0,0.00,19.3,11,0,7.4,28W 2Amp DC 12V LED Driver Adapter Power Supply Transformer,Explore our website for compact LED drivers and constant voltage power supply transformers.,28W 2Amp Compact LED Driver AC 230V to DC12V Power Supply Transformer~1001,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-light-ceiling-pendant-light-with-pulley-system,light pulley system,32,0,0.00,7.1,14,0,3.3,Missing,Missing,Ceiling Light Pulley System – 3 Light Industrial Pendant Chandelier ~5952,Do not optimize,GSC data available
https://ledsone.co.uk/products/light-fixing-strap-brace-ceiling-rose-155mm-bracket-plate-with-accessories,No GSC data,0,0,,,"","","",Light Fixing brace ceiling rose 155mm bracket Plate with accessories,Free UK Shipping On Order Over £20 Express 24hrs Delivery Available. Brand New Ceiling Plate Bracket Material: iron + plating.,155mm Ceiling Rose Strap Side fitting Bracket~2399,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/ceramic-porcelain-type-6-es-e27-edison-screw-heat-bulb-variation-lamp-holder,No GSC data,0,0,,,"","","",Missing,Missing,Missing,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/2pcs-bath-pedestal-rug-set-soft-non-slip-water-absorbent-mat-sets-5393,No GSC data,0,0,,,"","","",2PCS U shape Bath and pedestal mats,Discover the perfect modern rubber door mat for your outdoor or indoor kitchen.,2PCS Bath & Pedestal Rug Set Soft Non-Slip Water Absorbent Mat Sets~5393,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/cone-wall-light,cone wall light,64,0,0.00,21.5,10,0,28.9,Swan Neck Wall Light Indoor | Ledsone.co.uk,Buy Swan neck wall lights and get the best deals at the lowest price at our ledsone.co.uk.,Black Cone Wall Light~2673,Do not optimize,GSC data available
https://ledsone.co.uk/products/copper-lamp-shade-cap-for-pendant-light-socket-holder-fitting,lamp shade cap,3,0,0.00,5.0,2,0,4.0,Decorative Lamp Shade Cap for Pendant Lights Copper,Check out our amazing range of copper decorative light shade caps for pendant lights.,Copper Lampshade Fitter Cap | Premium Pendant Finish ~1035,Do not optimize,GSC data available
https://ledsone.co.uk/products/dc12v-15w-led-driver-power-supply-transformer,led driver 12v 15w,2,0,0.00,19.5,1,0,1.0,AC DC Adapter 12V,Power up your devices with our selection of AC DC Adapter 12V options.,12V LED Driver Power Supply 15W – Reliable Transformer for LED Strips ~3265,Do not optimize,GSC data available
https://ledsone.co.uk/products/warm-white-12v-led-waterproof-modules-ip67-outdoor-5677,led module warm white,12,0,0.00,11.3,3,0,1.7,Water Resistant Led Module Warm White,Explore our collection of water-resistant led module cool white designed for versatility and longevity.,Industrial 12V IP67 Waterproof Warm White Injection LED Modules ~ 5677,Do not optimize,GSC data available
https://ledsone.co.uk/products/5-x-vintage-pendant-cord-grip-strain-relief-metal-cable-lock-10mm-nut-6048,cord grip,119,0,0.00,16.9,60,0,21.0,Missing,Missing,5 Pack Pendant M10 Cord Grip Strain Relief Metal Lock nut - 6048,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/pipe-lighting-accessories-iron-5way-cross,5 way pipe connector,8,0,0.00,3.1,7,0,3.4,Pipe lighting accessories - iron 5Way Cross,Perfect for all big and little DIY projects around the home such as lamps coffee tables benches bookshelves hangers vintage lighting.,Pipe lighting accessories - iron 5Way Cross~2398,Do not optimize,GSC data available
https://ledsone.co.uk/products/industrial-vintage-various-colours-ceiling-light-fitting-e27-pendant-holder,burgundy light fitting,5,0,0.00,10.0,5,0,10.0,E27 Pendant Holder Ceiling Light Fitting Vintage Industrial Burgundy,E27 Pendant Holder Ceiling Light Fitting Vintage Industrial Burgundy,Industrial Vintage Various colours Ceiling Light Fitting E27 Pendant Light ~4050,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-core-army-green-round-vintage-italian-braided-fabric-cable-flex-0-75mm-uk,No GSC data,0,0,,,"","","",3 Core Round Braided Army Green Fabric Lighting Cable 1M/5M/10M,Upgrade indoor lighting with 3 core round braided army green fabric cable. Flexible vintage-style cord ideal for pendant table and floor lamps.,3 Core Round Braided Army Green Fabric Lighting Cable 1M/5M/10M~3184,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/dc24v-ip67-30w-waterproof-led-driver-power-supply-transformer,30w led transformer,8,0,0.00,10.5,5,0,9.0,DC24V IP67 30W Waterproof LED Driver Power Supply Transformer,constant current led driver led transformer 24v 24v led transformer 24 volt led driver.,IP67 DC24V 30W  LED Driver Power Supply Transformer~3349,Do not optimize,GSC data available
https://ledsone.co.uk/products/screw-e27-white-plain-holder-bakelite-lamp-holder,e27 lamp holder white,14,0,0.00,5.4,3,0,8.3,E27 White Plain Bakelite Lamp Holder,Discover the perfect socket for vintage lamps with our E27 White Plain Holder Bakelite Lamp Holder.,E27 White Bakelite Lamp Holder | Vintage Style Socket~2982,Do not optimize,GSC data available
https://ledsone.co.uk/products/vintage-e27-edison-screw-3w-filament-bulb-warm-white-2000k-amber-glass-5073,2000k light bulb,16,0,0.00,7.3,8,0,1.9,Warm White Light Bulbs,Warm white lightbulbs can completely change your house! Feel the calming atmosphere they provide in your home.,D64-200 Lumens E27 Vintage Bulb- Incandescent~5073,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-outlet-500mm-black-metal-ceiling-rose-square,black square ceiling light,47,0,0.00,23.2,16,0,19.1,3 Outlet 500mm Black Metal Ceiling Rose Square,Missing,Black Square Ceiling Rose – 3 Outlet Light Plate ~1169,Do not optimize,GSC data available
https://ledsone.co.uk/products/red-wicker-rattan-lampshade-ceiling-pendant-light,No GSC data,0,0,,,"","","",Red Wicker Rattan Lampshade Ceiling Pendant Light,Missing,Red Wicker Rattan Lampshade Ceiling Pendant Light~1811,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/black-finished-industrial-adjustable-pendant-light-fixture,adjustable pendant light,12,0,0.00,10.1,8,0,9.7,Vintage Adjustable Pendant Light Fixture,Huge Metal Adjustable Pendant Light Fixture - Free Shipping over £20. Discover a wide range of hanging pendant lights for every style.,Industrial Adjustable Single Pendant Light Fixture ~3745,Do not optimize,GSC data available
https://ledsone.co.uk/products/plug-in-wall-light-kit-dimmer-uk-plug-flex-wire,dimmer wall lighting,51,0,0.00,22.1,17,0,19.3,Missing,Missing,Plug-in Wall Light Kit | Dimmer UK Plug Flex Wire ~ 5763,Do not optimize,GSC data available
https://ledsone.co.uk/products/orange-painted-metal-shade-lighting-vintage-pendant-light,retro orange ceiling light,20,0,0.00,11.2,9,0,10.0,Orange Painted Metal Shade Lighting Vintage Pendant Light,Missing,Orange Painted Metal Shade Lighting Vintage Pendant Light~1507,Do not optimize,GSC data available
https://ledsone.co.uk/products/vintage-edison-led-filament-bulb-g80-b22-4w-dimmable,b22 edison bulb,707,0,0.00,12.0,181,0,16.0,Dimmable Bayonet Bulb,Brighten up your home with dimmable bayonet bulbs. Shop now for the best deals on energy-saving lighting options.,Vintage Edison LED Filament Bulb G80 B22 4W Dimmable ~3078,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/fabric-hemp-flex-cable-kit-black-plug-in-pendant-lamp-light-e27-fitting-vintage-lamp,No GSC data,0,0,,,"","","",Fabric Hemp Flex Cable kit Black Plug In Pendant Light E27 Fitting,Free Uk Shipping on order over £20 EXPRESS 24Hrs delivery available. 30 days return policy available.,Fabric Hemp Flex Cable kit Black Plug In Pendant Lamp Light E27~3692,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/industrial-style-ceiling-light-three-b22-bar-conduits-light,b22 ceiling light,10,0,0.00,23.2,9,0,20.3,Industrial Style Ceiling Light,Illuminate your space with our industrial style ceiling light. Create a trendy and modern atmosphere in any room.,Industrial Style Ceiling Light Three B22 Bar Conduits Light ~1557,Do not optimize,GSC data available
https://ledsone.co.uk/products/black-bakelite-lamp-holder-industrial-socket-light-bulb-holder-5735,black bulb holder,94,0,0.00,8.4,21,0,13.6,Missing,Missing,E27 Black Bakelite Lamp Holder Industrial Socket Light Bulb Holder ~5735,Do not optimize,GSC data available
https://ledsone.co.uk/products/1m-white-pendant-light-holder,light holder ceiling,427,0,0.00,19.9,91,0,3.9,1m White Pendant Light Holder,Bulb socket | lamp socket | bracket bulb | base socket | bulb holder | lamp rings | threaded holders | Screw holders.,1m White Pendant Light Holder~1695,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/hemp-rope-metal-pendant-light-spider-light-hanging-light,rope spider light,18,0,0.00,3.9,16,0,3.1,Hemp Rope Pendant Light with Green Lampshade | Spider Light | Ledsone UK,Buy Industrial Ceiling Pendant Light and Get the Best Price On Ledsone. UK Free shipping orders over £25.,Hemp Rope Metal Hooked Pendant Light ~5045,Do not optimize,GSC data available
https://ledsone.co.uk/products/fisherman-caged-conduit-pipe-light-shade-3-4-entry-wall-lantern-with-glass,No GSC data,0,0,,,"","","",Missing,Missing,Missing,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/retro-vintage-1cm-hole-barrel-cage-design-rattan-style-lamp-light-shades-4219,No GSC data,0,0,,,"","","",Missing,Missing,1cm Hole Barrel Cage Design E27 Rattan Style Lamp Light Shade~4219,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/105mm-bracket-strap-brace-plate-with-accessories-ceiling-rose-light-fixing,No GSC data,0,0,,,"","","",105mm bracket strap brace Plate with accessories ceiling rose Light.,Free UK Shipping On Order Over £20 | Brand New Ceiling Plate Bracket Material: iron + plating. Ideal for hanging chandeliers & light fittings up to 5kg.,105mm Ceiling Rose Strap Side fitting Bracket~2392,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/linear-cage-pendant-light-fixture,rectangular cage chandelier,28,0,0.00,20.6,15,0,15.3,Missing,Missing,Linear Cage Pendant Light Fixture~3775,Do not optimize,GSC data available
https://ledsone.co.uk/products/b22-t185-60w-dimmable-vintage-light-filament-bulb,No GSC data,0,0,,,"","","",E27 T130 60W Dimmable Vintage Light Filament Bulb,B22 T185 60W Vintage Retro Industrial Filament Bulb Base: B22 Input Voltage: AC 220-240V Certification: CE & RoHS certified.,E27 T130 60W Dimmable Vintage Light Filament Bulb~3070,Data validation required,Product resolved — no matched GSC data
https://ledsone.co.uk/products/design-women-toe-post-flip-flop-beach-slipper-for-sea,beach slipper,1347,0,0.00,7.0,542,0,2.7,Rubber seaside women's toe post Flip Flop beach Slipper,Explore our website for the trendiest rubber seaside women's toe post flip flop beach slipper. Get 10% off.,Design Rubber Women Toe Post Flip Flop Beach Slipper for Sea ~5212,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights,wall light shades,598,0,0.00,19.4,195,0,17.3,ribbed glass wall light uk | glass wall lights,View our collection of gorgeous stunning ribbed glass wall lights ideal for adding flair to your house!,Industrial Ribbed Glass Wall Light Fits Standard UK Wall Lights (E27) ~1774,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/3-way-modern-black-ceiling-pendant-cluster-light-fitting-industrial-pendant-lampshade,black light fittings,1208,0,0.00,16.6,225,0,9.4,3 Way Modern Black Ceiling Pendant Cluster Light Fitting Industrial Pendant Lampshade,Vintage Retro Modern Black Ceiling Pendant Lights Check Our Store for More Vintage Lighting Products.,Flat Modern Black 3 Light Pendant Ceiling Light ~2137,Check intent mismatch before optimizing,GSC data available
