Product URL,Product Title,Weekly Sales,Monthly Sales,Monthly Clicks,Monthly Impressions,Monthly CTR (%),Avg Position,Optimization Status,Recommended Action
"https://ledsone.co.uk/products/ip68-waterproof-junction-box-outdoor-for-electrical-cable-wire-connector-5599","IP68 External Coaxial Junction Box For Electrical Cable Wire Connector","2","6","5","1077","0.46","8.8","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/rose-gold-lamp-shade-cap-for-pendant-light-socket-holder-fitting","Rose Gold Lamp Shade Cap For Pendant Light Socket Holder Fitting","0","0","1","205","0.49","9.6","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/40cm-black-metal-dome-pendant-light","40cm Black Metal Dome Pendant Light","0","0","1","86","1.16","10.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/modern-vintage-pendant-light-fitting-retro-industrial-style-e27-lamp-holder","Modern Vintage Pendant Light Fitting Retro Industrial Style E27 Lamp Holder","0","0","1","85","1.18","9.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/pendant-light-fitting-ceiling-rose-e27-suspension-set-fabric-corded-rose-gold","E27 Rose Gold Pendant Light Fitting Ceiling Rose Fabric Cable","0","0","1","244","0.41","10.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/tiffany-style-ceiling-pendant-hanging-mediterranean-style-lamp-light-decorative-home-4541","Tiffany Style Ceiling Pendant Hanging Mediterranean Style Lamp Light","0","0","0","62","0.0","7.9","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/brushed-silver-metal-industrial-hanging-pendant-lighting-adjustable-hanging-barn-light","Brushed Silver Metal Industrial Hanging Pendant Lighting Adjustable Barn Light","0","0","1","129","0.78","15.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/industrial-pendant-lighting-with-32cm-orange-lampshade-over-the-kitchen-island","Industrial Pendant Lighting with 32cm Orange Lampshade Over the Kitchen Island","0","0","0","85","0.0","7.6","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/lamp-shade-spring-clip-retainer-for-lamp-part-shades-5963","Lamp Shade Spring Clip Retainer For Lamp Part Shades","0","0","2","404","0.5","7.9","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/french-gold-pendant-lights-gold-ceiling-lights-metal-industrial-light-shade","French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade","0","0","0","64","0.0","9.6","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/e27-g95-40w-dimmable-antique-globe-industrial-retro-bulb","Edison Style E27 G95 Bulb 4W Dimmable Screw Vintage Globe Decorative Bulb","2","4","0","259","0.0","14.8","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/dc12v-60w-ip20-mini-universal-regulated-switching-led-transformer","DC12V 60W IP20 Mini Universal Regulated Switching LED Transformer","0","0","0","9","0.0","6.2","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/industrial-vintage-style-wall-or-ceiling-light-b22-bar-conduits-light","Industrial Vintage Style Wall or Ceiling Light B22 Bar Conduits Light","0","0","0","77","0.0","8.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/3-light-bulb-guard-cage-cluster-pendant-lights","3 Light Bulb Guard Cage Cluster Pendant Lights","0","0","0","830","0.0","8.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/conduit-pipe-table-lamp-with-dimmer-switch-industrial-steampunk-light-5651","Conduit Pipe Table Lamp with Dimmer Switch Industrial Steampunk Light","0","0","3","630","0.48","12.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/28w-compact-led-driver-ac-230v-to-dc12v-power-supply-transformer","28W Compact LED Driver AC 230V to DC12V Power Supply Transformer","0","0","2","153","1.31","10.2","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/3-light-ceiling-pendant-light-with-pulley-system","3 Light Ceiling Pendant Light With Pulley System","0","0","0","84","0.0","7.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/light-fixing-strap-brace-ceiling-rose-155mm-bracket-plate-with-accessories","Light Fixing Strap Brace Ceiling Rose 155mm Bracket Plate With Accessories","0","0","0","15","0.0","6.3","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/ceramic-porcelain-type-6-es-e27-edison-screw-heat-bulb-lamp-holder","High-Temp Porcelain Ceramic Heat Bulb Lamp Holder","0","0","0","243","0.0","10.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/2pcs-bath-pedestal-rug-set-soft-non-slip-water-absorbent-mat-sets-5393","2PCS Bath Pedestal Rug Set Soft Non-Slip Water Absorbent Mat Sets","0","0","0","6","0.0","7.8","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/cone-wall-light","Black Cone Wall Light","0","0","0","144","0.0","16.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/copper-lamp-shade-cap-for-pendant-light-socket-holder-fitting","Copper Lamp Shade Cap For Pendant Light Socket Holder Fitting","0","0","0","40","0.0","6.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/dc12v-15w-led-driver-power-supply-transformer","DC12V 15W LED Driver Power Supply Transformer","0","0","1","20","5.0","8.8","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/warm-white-12v-led-waterproof-modules-ip67-outdoor-5677","Warm White 12V LED Waterproof Modules IP67 Outdoor","0","0","3","78","3.85","9.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/5-x-vintage-pendant-cord-grip-strain-relief-metal-cable-lock-10mm-nut-6048","5x Vintage Pendant Cord Grip Strain Relief Metal Cable Lock 10mm Nut","0","0","1","358","0.28","10.2","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/pipe-lighting-accessories-iron-5way-cross","Pipe Lighting Accessories Iron 5-Way Cross","0","0","2","35","5.71","4.4","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/industrial-vintage-various-colours-ceiling-light-fitting-e27-pendant-holder","Industrial Vintage Various Colours Ceiling Light Fitting E27 Pendant Light","2","12","0","26","0.0","9.9","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/3-core-army-green-round-vintage-italian-braided-fabric-cable-flex-0-75mm-uk","3 Core Round Braided Army Green Fabric Lighting Cable","0","3","0","16","0.0","6.9","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/dc24v-ip67-30w-waterproof-led-driver-power-supply-transformer","DC24V IP67 30W Waterproof LED Driver Power Supply Transformer","0","0","0","28","0.0","7.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/screw-e27-white-plain-holder-bakelite-lamp-holder","Screw E27 White Plain Holder Bakelite Lamp Holder","0","0","0","69","0.0","5.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/vintage-e27-edison-screw-3w-filament-bulb-warm-white-2000k-amber-glass-5073","Vintage E27 Edison Screw 3W Filament Bulb Warm White 2000K Amber Glass","0","0","0","66","0.0","9.1","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/3-outlet-500mm-black-metal-ceiling-rose-square","3 Outlet 500mm Black Metal Ceiling Rose Square","0","0","0","144","0.0","13.1","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/red-wicker-rattan-lampshade-ceiling-pendant-light","Red Wicker Rattan Lampshade Ceiling Pendant Light","0","0","0","20","0.0","4.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/black-finished-industrial-adjustable-pendant-light-fixture","Black Finished Industrial Adjustable Pendant Light Fixture","0","0","0","21","0.0","9.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/plug-in-wall-light-kit-dimmer-uk-plug-flex-wire","Plug-In Wall Light Kit Dimmer UK Plug Flex Wire","0","0","2","170","1.18","12.2","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/orange-painted-metal-shade-lighting-vintage-pendant-light","Orange Painted Metal Shade Lighting Vintage Pendant Light","0","0","1","81","1.23","9.6","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/vintage-edison-led-filament-bulb-g80-b22-4w-dimmable","Vintage Edison LED Filament Bulb G80 B22 4W Dimmable","0","0","3","1340","0.22","10.1","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/fabric-hemp-flex-cable-kit-black-plug-in-pendant-lamp-light-e27-fitting-vintage-lamp","Fabric Hemp Flex Cable Kit Black Plug-In Pendant Lamp Light E27 Fitting","0","0","0","5","0.0","4.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/industrial-style-ceiling-light-three-b22-bar-conduits-light","Industrial Style Ceiling Light Three B22 Bar Conduits Light","0","0","0","39","0.0","12.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/black-bakelite-lamp-holder-industrial-socket-light-bulb-holder-5735","E27 Black Bakelite Lamp Holder Industrial Socket Light Bulb Holder","0","5","3","366","0.82","7.0","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/1m-white-pendant-light-holder","1m White Pendant Light Holder","0","0","1","704","0.14","15.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/hemp-rope-metal-pendant-light-spider-light-hanging-light","Hemp Rope Metal Pendant Light Spider Light Hanging Light","0","0","0","75","0.0","5","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/conduit-light-shade-5570","Fisherman Caged Conduit Pipe Light Shade Wall Lantern with Glass","0","0","2","105","1.9","5.8","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/retro-vintage-1cm-hole-barrel-cage-design-rattan-style-lamp-light-shades-4219","Retro Vintage 1cm Hole Barrel Cage Design Rattan Style Lamp Light Shade","0","0","0","33","0.0","6.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/105mm-bracket-strap-brace-plate-with-accessories-ceiling-rose-light-fixing","105mm Bracket Strap Brace Plate With Accessories Ceiling Rose Light Fixing","0","0","0","30","0.0","4.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/linear-cage-pendant-light-fixture","Linear Cage Pendant Light Fixture","0","0","0","61","0.0","13.3","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/b22-t185-60w-dimmable-vintage-light-filament-bulb","B22 T185 60W Dimmable Vintage Light Filament Bulb","0","0","0","8","0.0","8.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/design-women-toe-post-flip-flop-beach-slipper-for-sea","Design Women Toe Post Flip Flop Beach Slipper For Sea","0","0","0","1645","0.0","6.6","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights","Industrial Ribbed Glass Wall Lights Replacement Lampshades For Wall Lights","0","0","1","769","0.13","17.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/3-way-modern-black-ceiling-pendant-cluster-light-fitting-industrial-pendant-lampshade","3 Way Modern Black Ceiling Pendant Cluster Light Fitting Industrial Lampshade","0","0","1","1357","0.07","15.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"